,Name,Latitude,Longitude,Current Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kāman,27.65,77.2667,68.5,68.5,23,21,7.4,IN,1709995181
1,Kuloy,61.0305,42.4925,18.09,18.09,97,100,0.85,RU,1709995181
2,Chepo,9.1667,-79.1,85.78,86.97,57,27,9.95,PA,1709995181
3,Stanley,54.868,-1.6985,40.93,43.72,91,75,13.8,GB,1709995181
4,Adamstown,-25.066,-130.1015,76.8,76.8,72,6,9.75,PN,1709994969
5,Songea,-10.6833,35.65,74.44,74.44,83,93,3.15,TZ,1709995182
6,Fiambalá,-27.6871,-67.6149,85.37,85.37,30,52,4.52,AR,1709995370
7,Waitangi,-43.9535,-176.5597,48.81,49.82,75,86,3.0,NZ,1709995182
8,Ilulissat,69.2167,-51.1,1.42,1.42,78,75,9.22,GL,1709995182
9,Bethel,41.3712,-73.414,38.88,41.36,79,100,9.22,US,1709995182
10,San Antonio de Palé,-1.4014,5.6325,80.28,80.28,80,100,6.8,GQ,1709995182
11,Galveston,29.3669,-94.9669,52.93,55.0,80,100,7.0,US,1709995183
12,Iqaluit,63.7506,-68.5145,-18.31,-18.31,75,40,5.75,CA,1709995371
13,Koné,-21.0595,164.8658,76.66,76.66,87,85,5.14,NC,1709995371
14,Edinburgh of the Seven Seas,-37.0676,-12.3116,64.45,64.45,79,13,16.31,SH,1709995183
15,Yuzhno-Kurilsk,44.0306,145.8556,25.38,25.38,59,100,3.6,RU,1709995183
16,Albany,42.6001,-73.9662,37.81,39.92,76,100,4.0,US,1709994963
17,Jijiang,29.2906,106.2542,56.5,58.5,70,36,2.15,CN,1709995184
18,Talnakh,69.4865,88.3972,4.21,4.21,95,100,6.42,RU,1709995372
19,Uturoa,-16.7333,-151.4333,82.8,82.8,77,100,11.41,PF,1709995184
20,Invercargill,-46.4,168.35,42.03,42.03,91,73,1.99,NZ,1709995372
21,Port-aux-Français,-49.35,70.2167,44.69,44.69,97,89,28.9,TF,1709995185
22,Maragogi,-9.0122,-35.2225,87.48,87.48,61,66,11.1,BR,1709995063
23,Fauske,67.2588,15.3918,41.04,41.04,78,1,5.68,NO,1709995185
24,Mammoth Lakes,37.6485,-118.9721,16.52,16.52,73,0,0.0,US,1709995185
25,Crane,31.3974,-102.3501,40.05,40.05,61,10,12.55,US,1709995185
26,Nyurba,63.2842,118.3319,9.75,9.75,95,100,6.49,RU,1709995373
27,Haiku-Pauwela,20.9219,-156.3051,66.67,73.04,78,0,16.11,US,1709995373
28,Zeya,53.75,127.2667,7.48,7.48,96,100,3.24,RU,1709995373
29,Saint Paul Harbor,57.79,-152.4072,27.91,27.91,74,0,13.8,US,1709995373
30,Hammerfest,70.6634,23.6821,37.85,37.85,93,75,9.22,NO,1709995374
31,Mangai,-4.05,19.5333,87.78,87.78,56,88,1.66,CD,1709995374
32,Yellowknife,62.456,-114.3525,14.52,14.52,92,75,9.22,CA,1709995374
33,Saipan,15.1355,145.701,79.5,79.5,78,20,14.97,MP,1709995374
34,Codrington,-38.2667,141.9667,75.15,75.15,53,68,7.45,AU,1709995374
35,Boa Vista,2.8197,-60.6733,87.78,87.78,55,20,13.8,BR,1709995171
36,Grytviken,-54.2811,-36.5092,44.62,44.62,75,28,5.37,GS,1709995375
37,San Luis de la Loma,17.2706,-100.8939,77.79,77.79,50,0,0.16,MX,1709995375
