,Name,Latitude,Longitude,Current Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kenai,60.5544,-151.2583,19.45,19.45,100,100,4.61,US,1710170681
1,Rūdsar,37.1376,50.288,49.98,49.98,91,100,3.24,IR,1710170681
2,Thompson,55.7435,-97.8558,24.96,24.96,93,20,0.0,CA,1710170388
3,Kapaa,22.0752,-159.319,66.24,69.78,92,100,9.22,US,1710170682
4,Yellowknife,62.456,-114.3525,12.72,12.72,73,100,8.05,CA,1710170682
5,Verkhnevilyuysk,63.4453,120.3167,11.08,11.08,95,100,5.3,RU,1710170682
6,Bilibino,68.0546,166.4372,-24.18,-24.18,100,90,4.09,RU,1710170682
7,Hermanus,-34.4187,19.2345,85.8,85.8,55,0,12.03,ZA,1710170682
8,Port-aux-Français,-49.35,70.2167,47.66,47.66,85,81,33.91,TF,1710170683
9,Mossamedes,-15.1961,12.1522,81.18,81.18,73,52,15.52,AO,1710170683
10,Blackmans Bay,-43.0167,147.3167,69.37,71.73,69,90,9.69,AU,1710170683
11,Ternate,0.8,127.4,80.13,80.13,83,98,9.51,ID,1710170683
12,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.45,25.45,93,75,8.99,RU,1710170683
13,Sisimiut,66.9395,-53.6735,10.99,10.99,82,41,9.33,GL,1710170684
14,Couzeix,45.8705,1.2383,48.67,48.67,81,100,12.66,FR,1710170684
15,Enewetak,11.3474,162.3373,79.79,79.79,73,96,21.21,MH,1710170684
16,Port Mathurin,-19.6833,63.4167,80.08,80.08,82,60,19.51,MU,1710170684
17,Fortuna,40.5982,-124.1573,42.24,46.65,93,20,10.36,US,1710170684
18,Sur,22.5667,59.5289,76.3,76.3,63,3,6.13,OM,1710170685
19,Longyearbyen,78.2186,15.6401,8.44,8.44,78,100,14.97,SJ,1710170685
20,Talnakh,69.4865,88.3972,-19.01,-19.01,99,100,4.59,RU,1710170685
21,Tiksi,71.6872,128.8694,-9.06,-9.06,98,100,4.03,RU,1710170686
22,Felipe Carrillo Puerto,19.5833,-88.05,80.46,80.46,75,74,4.88,MX,1710170686
23,Kholmsk,47.0511,142.0569,24.93,24.93,91,99,6.06,RU,1710170686
24,Puerto Natales,-51.7236,-72.4875,52.25,52.25,54,40,16.11,CL,1710170686
25,Iqaluit,63.7506,-68.5145,-13.31,-13.27,75,75,0.0,CA,1710170687
26,Ulsteinvik,62.3432,5.8487,41.04,41.31,57,97,5.01,NO,1710170687
27,Mahina,-17.5065,-149.489,78.57,78.57,83,40,1.14,PF,1710170687
28,Tarfaya,27.9358,-12.9218,65.01,65.01,69,43,15.55,MA,1710170687
